y_m,q_m,vnormal_m_s,speed_m_s,x_m,z_m,vx_m_s,vy_m_s,vz_m_s
-0.046572298,0.006250009312857023,0.16980527649757865,0.20436031814132702,0.015130562,0.013212305,0.19970143,-0.024389386,-0.03588365
-0.039498057,0.010204122075629303,0.14997871976687327,0.21478230750114682,0.0088783903,0.014854007,0.19704308,-0.029107135,-0.080363169
-0.050442211,0.023659785261055447,0.24323824892497334,0.3038003833871303,0.0073218378,0.028810989,0.29427522,-0.02629566,-0.070748188
-0.020973206,0.037732124723936236,0.14717202071321697,0.23754944366803626,-0.029863916,0.028314205,0.20825906,-0.0082970783,-0.11396956
-0.026345525,0.037967263691880644,0.1522743056781209,0.2476713468574297,-0.029435527,0.028751491,0.21623476,-0.015979234,-0.11970083
-0.023562573,0.03369229123277271,0.14631525805155499,0.2281430704314194,-0.024491437,0.026205972,0.20275083,-0.017148552,-0.1031857
-0.037103336,0.033092325181729956,0.1436385839770784,0.23012257022617527,-0.024169827,0.025690708,0.20177901,-0.025145292,-0.10774666
-0.033660226,0.03242795196380362,0.14386443396376342,0.2273877394976584,-0.023312679,0.025332797,0.20082229,-0.019196019,-0.10491475
-0.032337163,0.032403307109866074,0.14891200093745546,0.23103181167917616,-0.022750624,0.025544602,0.20583235,-0.015310646,-0.10379945
-0.022816146,0.03140879847336481,0.1519785875227374,0.23097672787441498,-0.021386202,0.02504337,0.20757914,-0.015744366,-0.1000663
-0.02190418,0.029130492193645652,0.14576378388865852,0.22536805900200974,-0.02008679,0.023119876,0.20118695,-0.011453206,-0.10091282
-0.037357252,0.025813841618105095,0.14254599542768903,0.21797130719371952,-0.015661998,0.021395011,0.19529685,-0.017143318,-0.095271915
-0.020553362,0.026423745847845532,0.16208731873529117,0.23383135469934593,-0.014332484,0.022621932,0.21493684,-0.010087952,-0.091528632
-0.032518074,0.026019064152225525,0.14394446653103177,0.22090967082310606,-0.014775014,0.021994459,0.1975821,-0.018399648,-0.097076513
-0.027004248,0.02467643003945195,0.1449520423618889,0.2093879925708071,-0.01469514,0.020569779,0.19216327,-0.015378973,-0.081731856
-0.016904401,0.021799022550335147,0.13785690866127018,0.19524604725381345,-0.01079981,0.019097347,0.18075792,-0.010747365,-0.073021144
